client_id,total_sent,open_rate,unsubscription_rate,bounce_rate,complaint_rate
161183,4530,11.86,0,1.17,0.02
568656,5246,12.95,0,1.94,0.04
851635,696,17.66,0,1.58,0
1188248,44037,24.45,0.09,1.23,0
593310,2549,25.53,0,0.9,0
293776,2168,35.84,0,0.51,0
1283388,4919,10.22,0,5.96,0
54737,960,21.83,0,3.13,0
761054,12209,30.93,1.58,6.93,0.08
14740,3068,20.44,0,3.68,0
1392695,32791,32.04,0,0.26,0.01
747423,325,60.26,0,4,0
988721,779,22.79,0,1.41,0
844084,20099,13.08,0,0.98,0
386857,220,29.95,0.92,1.36,0
2849,7323,19.33,0,3.65,0.01
1455548,45694,9.21,0,1.86,0
1261647,8279,23.85,0,0.6,0
1479390,190,35.26,0,0,0
541838,154,71.24,0,0.65,0
86323,984,13.85,0,0.2,0
448214,2252,30.07,0.05,1.51,0
24626,2378,9.45,0,0.8,0
1219579,419,29.85,0,4.06,0
734438,13809,31.94,0,0.33,0
1495708,1626,8.49,0,5.1,0
113326,598,34.75,0,1.84,0.17
362174,8112,19.33,0.2,0.28,0
1045686,6860,15.55,0,77.41,0
732111,15093,21.98,0.01,3.55,0
1481858,562,28.97,0,3.56,0
1158994,1391,14.18,1.45,0.65,0
12307,492,30.41,0,0.41,0
842473,41925,15.13,0,0.18,0.01
421654,16180,14.19,0.29,1.67,0.01
786950,7474,9.97,0,1.23,0
885042,1992,43.62,0,1.61,0
1312328,958,23.58,0,0.84,0
1431374,988,26.01,0.1,2.33,0
608732,5158,20.47,0,0.29,0
1043362,73775,9.68,0.03,0.18,0
1490814,477,39.19,0,1.05,0
954922,285,44.56,0,0,0
402178,7954,12.1,0,1.42,0
106788,5491,13.92,0,1.51,0.02
1466275,898,17.87,0,13.36,0
202304,3130,35.96,0,0.42,0
1342580,2483,19.43,0,1.33,0
361242,109,24.51,0,6.42,0
803624,1108,39.73,0,1.17,0
1269823,1552,17.58,0,4.32,0
780764,927,24.95,0,1.83,0
1037563,35893,7.12,0,2.27,0
71667,1199,39.01,0,1,0
95561,1591,30.92,0.52,2.83,0
177167,3266,12.68,0,0.49,0
655362,709,15.46,0,0.56,0
1184845,5310,18.35,0,0.55,0
74850,294,33.22,0,0.68,0
577729,538,14.15,0,4.09,0.78
158445,122,8.26,0,0.82,0
1197381,1208,37.34,0,2.24,0
57072,11096,8.65,0,3.4,0
418194,274,14.71,0,0.73,0
355782,297,59.66,0,0.67,0
682223,770,10.54,0,1.43,0
558285,4959,14.72,0,0.56,0
952796,1920,17.71,0.21,2.34,0
348352,146,36.99,0,0,0
1493775,276,23.91,0,0,0
1386117,1068,23.45,0,0.56,0
934406,2432,13.18,0,0.78,0.04
804210,659,41.62,0,0.46,0
1231907,5214,24.71,0,0.35,0
402886,964,16.07,0.11,1.87,0
967574,366,33.43,0,1.09,0
1293924,840,24.33,0,1.67,0
288642,8708,14.52,0,0.48,0
1051427,1444,20.51,0,5.47,0
943895,10481,0.96,0,0.98,0
177473,9555,19.24,0,0.44,0
820140,688,50.07,0,2.18,0
1180373,6547,7.71,0,0.93,0
990849,2936,32.86,0,10.87,0.08
983793,159,26.67,0,5.66,0
899680,40078,12,0.04,0.84,0
556415,1411,51.24,0,0.14,0
1022504,5557,5.74,0,1.21,0
129237,1859,15.43,0,2.04,0
1345485,897,36.91,0,1.23,0
95709,909,52.55,0,0.77,0
952169,447,45.05,0,0.67,0
555051,6362,11.29,0,0.91,0
570437,1200,5.12,0.8,5.67,0.09
474673,2161,24.88,0,1.25,0
644854,11944,5.72,0,1.47,0.03
1151976,329,27.05,0,0,0
724017,3298,7.42,0,5.58,0
106152,1297,17.5,0,2.62,0
1189012,12688,16.76,0,1.2,0.01
475652,6564,32.12,0,0.58,0
791053,328,42.77,0,3.05,0
63987,317,37.26,0,0.95,0
403442,501,15.45,0,4.39,0.21
1439235,3144,48.9,0,1.59,0
1187399,6870,26.27,0.67,0.6,0.01
260649,2331,21.84,0,1.59,0
38877,4239,37.86,0,0.73,0
740065,850,25.35,0,7.18,0
1219685,129,77.52,0,0,0
1078345,110725,14.34,0,2.48,0
792692,603,32.77,0,1.82,0
1444995,2726,23.83,0,2.57,0
964655,17480,9.2,0,0.66,0
378477,707,24.29,0,5.09,0
1387748,4380,28.96,0.05,0.89,0
1204420,332,40.3,0,0.6,0
700540,6436,29.36,0,0.82,0
723444,170,44.64,0,1.18,0
424342,1195,30.56,0,1.42,0
1498359,11685,21.1,0,1.42,0.01
102745,205,11.39,0,1.46,0.5
774925,965,30.08,0,1.14,0
286592,132,47.69,0,1.52,0
52012,3045,23.9,0,2.04,0
1437243,695,28.31,0,5.47,0
1476787,711,31.76,0,1.69,0
359955,38799,13.2,0,0.4,0
1337823,4149,23.87,0,1.04,0
871969,6084,9.45,0,1.89,0.17
80641,9434,9.98,0,1.22,0
335045,217,28.57,0,3.23,0
1200406,1114,15.14,0,3.95,0
569149,2677,28.34,0,1.01,0
429603,235,63.64,0,1.7,0
1054023,4872,44.81,0,0.14,0.02
470481,1845,31.97,0,2.17,0
491935,2584,16.62,0.08,2.44,0
1271255,414,19.33,0,6.28,0.26
1324682,1430,20.23,0,1.47,0
1022307,646,32.67,0,6.66,0
1243130,4449,33.49,0,0.94,0
1329471,857,37.21,0,2.8,0
554328,237,30.97,0,4.64,0
1417985,11140,11.94,0,1.03,0
872385,117,25,0,0.85,0
1208407,175,46.82,0,1.14,0
9726,600,25.91,0,3.5,0
246708,3767,51.84,0,1.27,0
660247,6210,18.86,0,2.75,0
345993,5769,24.33,0.18,2.89,0
1227815,252,33.6,0,0.79,0
187501,2273,14.61,0,2.16,0
483337,548,33.89,0,1.46,0
1404273,400,39.04,0,0.75,0
611321,2407,26.32,0,0.87,0
949246,130,54.62,0,0,0
1508619,214,41.9,0,1.87,0
1261797,255,22.71,0,1.57,0
212321,772,25.68,0,4.15,0
1545650,332,25,0,1.2,0
245875,12991,6.21,0,2.27,0
313276,4099,16.17,0,3.15,0
377513,1498,2.68,0,10.21,0
772195,401,78.01,0,2.49,0
621296,2847,21.45,0,3.86,0
104250,3419,19.6,0,2.11,0
1238476,294,20.77,0,3.4,0
641763,5460,20.03,0,3.72,0
697426,1285,21.88,0,1.48,0
